City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nova vicosa,-17.8919,-39.3719,298.93,70,Clouds,3.46,BR,1686847070
1,menaka,15.9182,2.4022,314.32,19,Clouds,5.8,ML,1686847071
2,tazovsky,67.4667,78.7,276.15,95,Clouds,4.63,RU,1686847071
3,kiruna,67.8557,20.2251,286.66,51,Clear,6.17,SE,1686847072
4,esquel,-42.9,-71.3167,276.81,94,Clouds,0.58,AR,1686846953
5,adamstown,-25.066,-130.1015,294.46,68,Clouds,4.82,PN,1686847074
6,island harbour,50.724,-1.2758,299.28,61,Clouds,4.66,GB,1686847075
7,sao joao do piaui,-8.3581,-42.2467,309.09,26,Clear,3.91,BR,1686847077
8,bac lieu,9.285,105.7244,301.06,80,Clouds,4.61,VN,1686847078
9,volodarskiy,46.4013,48.5409,300.12,52,Clouds,5.46,RU,1686847080
10,port lincoln,-34.7333,135.8667,286.54,64,Clear,7.83,AU,1686847081
11,kristiansund,63.1115,7.732,292.18,59,Clear,4.12,NO,1686847081
12,bilibino,68.0546,166.4372,273.53,70,Clear,1.87,RU,1686847082
13,badagry,6.4167,2.8833,298.58,88,Rain,4.67,NG,1686847083
14,lebu,-37.6167,-73.65,285.87,82,Clouds,4.92,CL,1686847084
15,edinburgh of the seven seas,-37.0676,-12.3116,285.7,63,Rain,17.09,SH,1686847085
16,zheleznodorozhnyy,55.7503,38.0042,299.44,51,Clouds,2.8,RU,1686846787
17,port-aux-francais,-49.35,70.2167,279.27,96,Clouds,12.16,TF,1686847087
18,isafjordur,66.0755,-23.124,287.17,77,Clouds,2.57,IS,1686847088
19,lijiang,26.8688,100.2207,287.37,95,Clouds,1.7,CN,1686847090
20,touros,-5.1989,-35.4608,302.18,65,Clouds,5.45,BR,1686847091
21,siguiri,11.6667,-9.5,309.15,33,Clouds,3.28,GN,1686847092
22,uige,-7.6087,15.0613,296.15,66,Clear,1.05,AO,1686846805
23,puerto natales,-51.7236,-72.4875,279.4,49,Clouds,11.32,CL,1686847095
24,saint-francois,46.4154,3.9054,301.84,26,Clear,5.14,FR,1686847097
25,san patricio,28.017,-97.5169,307.55,36,Clouds,6.42,US,1686847098
26,ribeira grande,38.5167,-28.7,294.69,78,Clouds,6.69,PT,1686847099
27,waitangi,-43.9535,-176.5597,284.16,65,Clouds,8.26,NZ,1686847100
28,albany,42.6001,-73.9662,296.28,65,Clouds,1.34,US,1686846601
29,hobyo,5.3505,48.5268,299.24,78,Clouds,10.92,SO,1686847102
30,port mathurin,-19.6833,63.4167,297.85,74,Clouds,7.78,MU,1686847105
31,tarija,-21.5355,-64.7296,288.1,31,Clear,0.0,BO,1686847106
32,puerto ayora,-0.7393,-90.3518,303.13,85,Clouds,3.13,EC,1686847107
33,holualoa,19.6228,-155.9522,296.06,96,Rain,3.6,US,1686846996
34,nemuro,43.3236,145.575,286.42,97,Clouds,2.94,JP,1686847108
35,aykhal,66.0,111.5,280.95,73,Clouds,9.03,RU,1686847109
36,guerrero negro,27.9769,-114.0611,292.98,66,Clouds,7.98,MX,1686847110
37,bethel,41.3712,-73.414,296.62,63,Clouds,3.6,US,1686847010
38,hawaiian paradise park,19.5933,-154.9731,294.84,99,Rain,2.06,US,1686847112
39,papatowai,-46.5619,169.4708,278.5,76,Clouds,2.68,NZ,1686847113
40,kiunga,-6.1219,141.2906,296.12,99,Rain,1.45,PG,1686847114
41,carnarvon,-24.8667,113.6333,290.68,75,Clear,5.73,AU,1686847115
42,thompson,55.7435,-97.8558,289.24,44,Smoke,3.09,CA,1686846876
43,jamestown,42.097,-79.2353,293.44,65,Clouds,4.12,US,1686846933
44,l'govskiy,51.6307,35.2775,290.28,90,Clouds,4.92,RU,1686847119
45,utrik,11.2278,169.8474,300.73,80,Rain,9.13,MH,1686847119
46,bardai,11.65,7.2333,302.79,49,Clouds,2.35,NG,1686847121
47,khandyga,62.6667,135.6,282.31,95,Clear,1.6,RU,1686847122
48,crane,31.3974,-102.3501,308.77,8,Clouds,7.99,US,1686847122
49,springbok,-29.6643,17.8865,283.09,97,Rain,1.53,ZA,1686847123
50,malvan,16.0667,73.4667,301.95,81,Clouds,4.98,IN,1686847125
51,rabo de peixe,37.8,-25.5833,293.88,88,Rain,5.66,PT,1686847126
